repo_id,owner_id,owner_name,type,search_location
44791087,15012648,cesc-park,User,korea
87027769,15012648,cesc-park,User,korea
51731516,15100232,gliese581gg,User,korea
54081841,15100232,gliese581gg,User,korea
45332311,15194670,ScaleChain,Organization,korea
84533158,15663219,yunjey,User,korea
77671238,15663219,yunjey,User,korea
90150895,15663219,yunjey,User,korea
73660839,15722005,buriburisuri,User,korea
67399212,15722005,buriburisuri,User,korea
73341053,15722005,buriburisuri,User,korea
72621417,15722005,buriburisuri,User,korea
68453688,15722005,buriburisuri,User,korea
72720513,15722005,buriburisuri,User,korea
68560316,15722005,buriburisuri,User,korea
68689584,15722005,buriburisuri,User,korea
76232805,15726364,ncsoft,Organization,korea
55330991,15726364,ncsoft,Organization,korea
48256768,15985354,blackdesert,User,korea
59639412,16643433,JackDinealKIM,User,korea
74150450,16930958,sn0wle0pard,User,korea
52032975,17245934,libreirc,Organization,korea
56951693,17673616,FuZer,User,korea
69974468,18007785,kh-kim,User,korea
63392484,18319668,axboot,Organization,korea
58142482,19248039,goniapm,Organization,korea
58048442,20684224,forkonlp,Organization,korea
95981267,21375466,DingdingKim,User,korea
96111265,22428579,jaesik817,User,korea
95520335,22428579,jaesik817,User,korea
85323146,22428579,jaesik817,User,korea
70475599,22743125,jhkim89,User,korea
90543117,23380257,gicheonkang,User,korea
84079834,24237865,skydoves,User,korea
79647613,24237865,skydoves,User,korea
89996560,24916793,wayfinders,User,korea
45688989,26325746,jsdevkr,Organization,korea
91171935,26370009,eveningglow,User,korea
94962941,26370009,eveningglow,User,korea
88152875,26713992,taki0112,User,korea
97455922,30229883,hooram,User,korea
14659998,248183,ipalaus,User,seoul
40097775,610600,zbum,User,seoul
10770489,786691,benknight,User,seoul
29128550,876860,ihoneymon,User,seoul
12207953,1168866,kewlbear,User,seoul
24039572,1168866,kewlbear,User,seoul
16788680,1168866,kewlbear,User,seoul
56316387,1201508,keepcosmos,User,seoul
74871410,1201508,keepcosmos,User,seoul
57950432,1303549,theeluwin,User,seoul
37432108,1303549,theeluwin,User,seoul
4131496,1617843,mobello,Organization,seoul
38630289,1677534,holyeye,User,seoul
20631040,1677534,holyeye,User,seoul
21615454,2495036,tigerjj,User,seoul
21945378,2495036,tigerjj,User,seoul
38745055,2571320,stunstunstun,User,seoul
90341204,2609775,cruisediary,User,seoul
91896663,2609775,cruisediary,User,seoul
76531540,2609775,cruisediary,User,seoul
11295881,3241312,bitmapdata,User,seoul
837872,3535376,DeNA,Organization,seoul
17128664,4183619,handstudio,Organization,seoul
21452083,4429361,minsOne,User,seoul
17948187,4429361,minsOne,User,seoul
77309872,5208632,rokoroku,User,seoul
14222962,5884902,thomasJang,User,seoul
38579353,6277035,golbin,User,seoul
55848997,6277035,golbin,User,seoul
79372336,6277035,golbin,User,seoul
77139995,6277035,golbin,User,seoul
45548668,6471947,appkr,User,seoul
45548668,6471947,appkr,User,seoul
67129075,7760496,jojoldu,User,seoul
